Timestamp,Body Weight,BW Units,BMI,Body Fat %,Lean Mass,Sensor
"September 6, 2016 at 03:13PM",176,pounds,27.56,13.3,152.6,Fitbit Aria
"September 7, 2016 at 07:10AM",175.6,pounds,27.51,13.3,152.2,Fitbit Aria
"September 8, 2016 at 07:13AM",178.6,pounds,27.97,13,155.4,Fitbit Aria
"September 9, 2016 at 07:24AM",175.5,pounds,27.49,13.2,152.3,Fitbit Aria
"September 10, 2016 at 10:40AM",174.5,pounds,27.34,13.7,150.6,Fitbit Aria
"September 11, 2016 at 09:27AM",173.9,pounds,27.23,13.3,150.8,Fitbit Aria
"September 12, 2016 at 07:36AM",173.6,pounds,27.19,13.3,150.5,Fitbit Aria
"September 13, 2016 at 06:57AM",176.5,pounds,27.64,13.1,153.4,Fitbit Aria
"September 14, 2016 at 06:59AM",176.5,pounds,27.64,12.2,155.0,Fitbit Aria
"September 15, 2016 at 07:21AM",176.8,pounds,27.69,12,155.6,Fitbit Aria
"September 16, 2016 at 08:16AM",177.4,pounds,27.79,12.1,155.9,Fitbit Aria
"September 17, 2016 at 07:51AM",177.7,pounds,27.83,12.1,156.2,Fitbit Aria
"September 18, 2016 at 10:33AM",175.8,pounds,27.54,12.5,153.8,Fitbit Aria
"September 19, 2016 at 06:19AM",177.5,pounds,27.8,12.6,155.1,Fitbit Aria
"September 20, 2016 at 07:22AM",176.1,pounds,27.59,12.9,153.4,Fitbit Aria
"September 21, 2016 at 08:21AM",176.2,pounds,27.6,13.2,152.9,Fitbit Aria
"September 22, 2016 at 06:02AM",177.7,pounds,27.83,13.1,154.4,Fitbit Aria
"September 23, 2016 at 07:38AM",176.2,pounds,27.6,12.9,153.5,Fitbit Aria
"September 24, 2016 at 09:45AM",175.3,pounds,27.46,13,152.5,Fitbit Aria
"September 25, 2016 at 10:32AM",178.2,pounds,27.92,12.4,156.1,Fitbit Aria
"September 26, 2016 at 07:33AM",177.1,pounds,27.74,12.5,155.0,Fitbit Aria
"September 27, 2016 at 09:37AM",174.5,pounds,27.33,13.4,151.1,Fitbit Aria
"September 28, 2016 at 07:05AM",175.3,pounds,27.46,13.5,151.6,Fitbit Aria
"September 29, 2016 at 06:00AM",176.3,pounds,27.61,13.1,153.2,Fitbit Aria
"September 30, 2016 at 07:15AM",175.5,pounds,27.49,12.8,153.0,Fitbit Aria
"October 1, 2016 at 09:08AM",176,pounds,27.56,12.9,153.3,Fitbit Aria
"October 2, 2016 at 09:34AM",175.6,pounds,27.5,13,152.8,Fitbit Aria
"October 3, 2016 at 07:39AM",174.9,pounds,27.4,13,152.2,Fitbit Aria
"October 4, 2016 at 06:44AM",175.1,pounds,27.42,12.9,152.5,Fitbit Aria
"October 6, 2016 at 05:51AM",177.9,pounds,27.86,12.4,155.8,Fitbit Aria
"October 7, 2016 at 07:52AM",176.5,pounds,27.64,11.1,156.9,Fitbit Aria
"October 8, 2016 at 09:37AM",175.6,pounds,27.5,11.4,155.6,Fitbit Aria
"October 9, 2016 at 08:05AM",175.9,pounds,27.54,11.9,155.0,Fitbit Aria
"October 10, 2016 at 07:29AM",175.2,pounds,27.43,11.9,154.4,Fitbit Aria
"October 11, 2016 at 06:48AM",176.2,pounds,27.6,11.8,155.4,Fitbit Aria
"October 12, 2016 at 08:28AM",174.5,pounds,27.34,11.9,153.7,Fitbit Aria
"October 14, 2016 at 07:51AM",174.7,pounds,27.36,12.2,153.4,Fitbit Aria
"October 15, 2016 at 10:23AM",175.9,pounds,27.56,12.4,154.1,Fitbit Aria
"October 16, 2016 at 10:29AM",176,pounds,27.56,12.6,153.8,Fitbit Aria
"October 17, 2016 at 07:02AM",176,pounds,27.56,12.5,154.0,Fitbit Aria
"October 18, 2016 at 06:54AM",173.4,pounds,27.16,12.5,151.7,Fitbit Aria
"October 19, 2016 at 07:35AM",174.9,pounds,27.4,12.6,152.9,Fitbit Aria
"October 20, 2016 at 06:58AM",174.9,pounds,27.39,12.4,153.2,Fitbit Aria
